Constituency,Region,SNP,CON,LAB,LD,GRN,OTH,Votes Cast,Electorate,Majority
PERTHSHIRE NORTH,Mid Scotland and Fife,19860,15807,2324,1802,0,334,40127,57572,4053
PERTHSHIRE SOUTH AND KINROSS-SHIRE,Mid Scotland and Fife,20126,18178,2943,2823,0,0,44070,63348,1948
RENFREWSHIRE NORTH AND WEST,West Scotland,17704,8734,10397,993,0,410,38238,56472,7307
RENFREWSHIRE SOUTH,West Scotland,17532,5149,10426,826,0,765,34698,53012,7106
RUTHERGLEN,Glasgow,20249,3663,15083,1112,0,0,40107,63431,5166
SHETLAND ISLANDS,Highlands and Islands,4997,503,424,5803,0,206,11933,18134,806
"SKYE, LOCHABER AND BADENOCH",Highlands and Islands,24192,8331,3855,6778,0,0,43156,63099,15861
STIRLING,Mid Scotland and Fife,19882,12987,6556,1466,0,0,40891,59285,6895
STRATHKELVIN AND BEARSDEN,West Scotland,21064,9580,8510,6675,0,415,46244,64397,11484
UDDINGSTON AND BELLSHILL,Central Scotland,17953,4569,12647,821,0,0,35990,59220,5306
